2019-05-07 11:28:26.518 [http-bio-8001-exec-5] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 11:28:26.593 [http-bio-8001-exec-5] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 11:28:26.601 [http-bio-8001-exec-6] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:05:14.156 [http-bio-8001-exec-3] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:05:14.174 [http-bio-8001-exec-7] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:05:14.166 [http-bio-8001-exec-9] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:05:14.502 [http-bio-8001-exec-8] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:05:14.504 [http-bio-8001-exec-4] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:05:18.770 [http-bio-8001-exec-8] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:05:18.771 [http-bio-8001-exec-4] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:05:18.774 [http-bio-8001-exec-7] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:05:19.323 [http-bio-8001-exec-3] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:05:19.700 [http-bio-8001-exec-9] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:06:26.873 [http-bio-8001-exec-2] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:06:26.884 [http-bio-8001-exec-8] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:06:26.886 [http-bio-8001-exec-4] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:06:26.912 [http-bio-8001-exec-3] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:06:26.933 [http-bio-8001-exec-9] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:06:26.934 [http-bio-8001-exec-2] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:06:26.946 [http-bio-8001-exec-3] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:06:26.945 [http-bio-8001-exec-4] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:06:27.004 [http-bio-8001-exec-8] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:06:27.025 [http-bio-8001-exec-9] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:06:27.915 [http-bio-8001-exec-2] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all devices stored.
2019-05-07 12:06:27.945 [http-bio-8001-exec-2] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deviceMetadata correctly retrieved
2019-05-07 12:06:27.956 [http-bio-8001-exec-4] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all devices stored.
2019-05-07 12:06:27.956 [http-bio-8001-exec-10] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all devices stored.
2019-05-07 12:06:28.016 [http-bio-8001-exec-10] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deviceMetadata correctly retrieved
2019-05-07 12:06:28.027 [http-bio-8001-exec-4] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deviceMetadata correctly retrieved
2019-05-07 12:06:42.111 [http-bio-8001-exec-8] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:06:42.124 [http-bio-8001-exec-9] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:06:42.124 [http-bio-8001-exec-1] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:06:42.142 [http-bio-8001-exec-8] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:06:42.198 [http-bio-8001-exec-9] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:06:42.230 [http-bio-8001-exec-7] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:06:42.228 [http-bio-8001-exec-10] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:06:42.206 [http-bio-8001-exec-1] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:06:42.304 [http-bio-8001-exec-10] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:06:42.318 [http-bio-8001-exec-7] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:13:44.809 [http-bio-8001-exec-6] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all devices stored.
2019-05-07 12:13:45.214 [http-bio-8001-exec-6] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deviceMetadata correctly retrieved
2019-05-07 12:16:03.376 [http-bio-8001-exec-7] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all devices stored.
2019-05-07 12:16:03.399 [http-bio-8001-exec-7] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deviceMetadata correctly retrieved
2019-05-07 12:16:13.581 [http-bio-8001-exec-1] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:16:13.582 [http-bio-8001-exec-4] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:16:13.584 [http-bio-8001-exec-9] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:16:13.590 [http-bio-8001-exec-5] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:16:13.596 [http-bio-8001-exec-3] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:16:13.599 [http-bio-8001-exec-9] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:16:13.598 [http-bio-8001-exec-1] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:16:13.620 [http-bio-8001-exec-5] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:16:13.624 [http-bio-8001-exec-3] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:16:13.784 [http-bio-8001-exec-4] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:16:21.273 [http-bio-8001-exec-9] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
